U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13
267.88135,NaN,NaN,133.25515,1324.22765,361.86935,49.04085,NaN,369.5534,1281.0611,NaN,24.18785,19.86775
267.986,NaN,NaN,136.6864,1334.31255,369.566,49.4234,NaN,370.4541,1312.2463,NaN,24.3733,20.0716
268.44395,NaN,NaN,137.5462,1351.51515,373.3598,49.88,NaN,373.3298,1341.38475,NaN,24.81835,20.2675
268.6472,NaN,NaN,138.0895,1389.6359,380.08105,50.2136,NaN,380.112,1357.5988,NaN,25.03705,20.4844
269.14445,NaN,NaN,142.69035,1417.31025,385.8477,50.4742,NaN,380.7087,1370.90115,NaN,25.27085,20.6843
270.86055,NaN,NaN,144.08325,1426.4498,386.91975,52.4426,NaN,385.66165,1389.76975,NaN,25.52015,20.98945
271.8587,NaN,NaN,144.6044,1433.4309,388.252,53.1284,NaN,385.8277,1393.9566,NaN,25.7885,21.1946
281.39595,NaN,NaN,145.3447,1433.60175,398.75,53.6575,NaN,387.77145,1405.9434,NaN,26.057,21.4167
294.62565,NaN,NaN,146.0777,1451.60425,399.9392,54.10545,NaN,398.69875,1463.718,NaN,26.31085,21.63805
296.97035,NaN,NaN,146.09355,1451.6184,404.2727,54.5327,NaN,398.7017,1511.2396,NaN,26.5685,22.02725
298.9948,NaN,NaN,146.6102,1463.6599,405.83765,55.28185,NaN,398.72015,1511.5423,NaN,26.8132,22.23565
299.4102,NaN,NaN,148.6346,1487.1225,406.4806,55.82505,NaN,398.7523,1578.94325,NaN,27.3427,22.4654
300.1745,NaN,NaN,150.26135,1497.9513,406.85175,56.11805,NaN,398.7695,1601.2244,NaN,27.60125,22.76735
301.57475,NaN,NaN,151.19685,1520.64285,407.53125,56.6015,NaN,404.2529,1616.6441,NaN,27.84885,22.9845
302.6472,NaN,NaN,151.8914,1525.37625,408.19035,57.51695,NaN,404.2614,1686.3485,NaN,28.0828,23.23725
304.3017,NaN,NaN,152.2978,1529.8645,409.72475,57.91625,NaN,404.28145,1716.3657,NaN,28.5787,23.50815
305.34425,NaN,NaN,152.96635,1547.1783,410.2155,58.1522,NaN,420.3732,1716.6393,NaN,28.84655,23.78685
307.726,NaN,NaN,153.7435,1551.9101,420.4858,58.68645,NaN,420.4963,1775.8964,NaN,29.08865,24.00845
308.13165,NaN,NaN,154.31755,1564.79645,421.0296,59.17285,NaN,424.94925,1775.9221,NaN,29.3276,24.18995
308.6633,NaN,NaN,154.5157,1593.5785,423.10285,59.69785,NaN,424.96225,1820.24145,NaN,29.54975,24.5121
309.32505,NaN,NaN,155.284,1625.534,423.82945,60.2478,NaN,433.50925,1824.8697,NaN,30.22825,24.7888
313.1093,NaN,NaN,156.3961,1625.53735,424.7638,60.73845,NaN,436.7725,1834.03265,NaN,30.4709,25.03395
313.8607,NaN,NaN,157.62345,1646.237,425.0173,61.14125,NaN,438.0977,NaN,NaN,30.69415,25.3232
314.67095,NaN,NaN,159.29155,1646.2698,428.1597,61.6153,NaN,438.1033,NaN,NaN,31.16795,25.564
317.47015,NaN,NaN,160.102,1646.2749,428.99745,62.0539,NaN,438.11565,NaN,NaN,31.4252,25.79725
320.7165,NaN,NaN,160.9123,1660.78305,429.48495,62.9368,NaN,438.1226,NaN,NaN,31.6987,26.0536
320.899,NaN,NaN,161.58615,1706.69,430.10035,63.32545,NaN,438.15475,NaN,NaN,31.92805,26.3023
321.387,NaN,NaN,161.9871,1716.36535,430.6175,63.9211,NaN,438.2677,NaN,NaN,32.18835,26.59045
328.54585,NaN,NaN,163.1507,1722.8324,431.047,64.18405,NaN,438.4976,NaN,NaN,32.42435,26.8431
329.0122,NaN,NaN,163.7918,1737.87405,432.47315,64.4169,NaN,447.67405,NaN,NaN,32.6598,27.14295
329.50565,NaN,NaN,164.26855,1775.90215,433.3532,64.56615,NaN,454.0888,NaN,NaN,32.92535,27.4163
332.32635,NaN,NaN,164.98915,1791.00395,433.65115,65.09235,NaN,464.5546,NaN,NaN,33.1509,27.5987
333.4499,NaN,NaN,165.42865,1852.15235,434.86125,65.47935,NaN,468.9851,NaN,NaN,33.4315,27.8582
333.90925,NaN,NaN,166.7264,1866.42735,436.7858,65.8731,NaN,471.77245,NaN,NaN,33.6991,28.04895
334.426,NaN,NaN,167.3452,1914.6043,437.23675,66.2041,NaN,475.3993,NaN,NaN,33.96315,28.2995
335.1074,NaN,NaN,168.06245,NaN,437.92955,66.64265,NaN,476.8052,NaN,NaN,34.21275,28.59225
337.14805,NaN,NaN,168.9221,NaN,438.12765,67.46975,NaN,481.73015,NaN,NaN,34.48725,28.82775
337.93705,NaN,NaN,170.25955,NaN,438.723,68.03245,NaN,486.7982,NaN,NaN,34.74245,29.3253
345.8208,NaN,NaN,170.89245,NaN,439.4245,68.8562,NaN,486.8231,NaN,NaN,34.9985,29.5881
346.8344,NaN,NaN,171.60625,NaN,439.76375,68.94125,NaN,486.8363,NaN,NaN,35.2721,29.83705
347.46395,NaN,NaN,172.4564,NaN,440.2442,69.41995,NaN,487.7061,NaN,NaN,35.52535,30.1448
350.9938,NaN,NaN,173.4268,NaN,440.75135,69.70655,NaN,494.53895,NaN,NaN,35.7696,30.45815
354.99205,NaN,NaN,173.5764,NaN,442.36735,70.1067,NaN,494.5898,NaN,NaN,36.0289,30.7503
360.08225,NaN,NaN,175.1042,NaN,442.9715,70.58075,NaN,496.5793,NaN,NaN,36.29505,30.94365
361.11235,NaN,NaN,175.52405,NaN,444.3068,70.8398,NaN,507.8704,NaN,NaN,36.44,31.11845
361.60665,NaN,NaN,176.1626,NaN,444.88735,71.16075,NaN,511.49675,NaN,NaN,36.66975,31.3677
362.10165,NaN,NaN,176.6176,NaN,447.6798,72.0531,NaN,521.44915,NaN,NaN,36.93265,31.79215
362.7625,NaN,NaN,177.7756,NaN,447.7355,72.45645,NaN,523.4571,NaN,NaN,37.17885,32.0605
