U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
8.316,NaN,7.651,6.135,6.444,6.592,8.685,7.494,6.931,5.99,5.033,5.616,9.159,7.004,6.824,8.905,6.775,9.568,6.731,11.805,5.869,7.037,6.735,5.396,6.635,6.866,6.018,6.184,6.861,8.226,6.407,4.884,5.681,4.622,5.517,6.021,3.87,4.7,6.751,6.847,8.297,35.871,5.906,5.743,10.808,7.075,5.967,6.847,6.435,6.419,7.682,6.682,8.13,6.208,6.317,5.642,7.088,6.745,7.548,6.855,5.843,5.085,6.563,6.548,6.666,7.051,4.972,6.322,7.782,4.811,5.45,5.02,4.622,5.636,6.037,6.462,4.633,6.264,8.947,6.864
8.446,NaN,8.177,6.248,6.671,6.768,9.136,7.609,7.028,6.118,5.39,5.87,9.341,7.574,7.143,9.404,7.26,9.628,7.02,11.984,6.086,7.152,6.875,5.84,6.723,7.071,6.518,6.55,7.063,8.391,6.575,5.224,6.009,5.302,5.585,7.111,4.027,4.965,6.82,7.165,8.443,36.675,6.326,5.908,11.206,7.294,6.177,7.063,6.573,6.571,7.878,6.898,8.334,6.433,6.43,5.736,7.766,7.551,8.151,7.072,6.237,5.605,7.346,6.736,7.014,7.308,5.179,6.436,8.015,5.086,5.826,5.83,5.073,6.063,6.373,7.392,4.852,6.423,9.548,7.085
8.846,NaN,8.526,6.5,6.871,7.388,9.309,7.844,7.524,6.545,5.631,6.102,9.443,7.758,7.5,9.633,7.426,9.83,7.503,12.597,6.29,7.51,7.245,6.31,7.069,7.615,6.651,6.748,7.414,8.703,6.7,5.253,6.801,5.445,6.1,7.44,4.148,5.588,7.04,7.281,8.8,38.886,6.457,6.049,11.599,8.087,6.353,7.312,6.761,6.971,7.97,7.077,8.987,6.648,6.656,5.868,7.931,7.772,8.469,7.303,6.51,5.741,7.46,7.083,7.245,7.465,5.301,6.977,8.434,5.382,5.925,6.059,5.184,6.338,6.584,7.527,5.381,6.713,10.073,7.15
8.923,NaN,8.719,6.778,7.259,7.532,9.735,8.09,7.849,6.732,5.731,6.173,9.56,7.992,7.79,10.044,7.914,10.076,7.918,13.137,6.537,7.805,7.454,6.809,7.253,8.167,6.792,7.083,8.257,9.121,7.092,5.283,7.568,5.985,6.183,7.962,4.366,5.886,7.63,8.311,9.351,42.792,6.576,6.419,11.691,8.482,6.565,7.964,7.083,7.544,8.075,7.21,9.313,6.929,6.916,5.966,8.17,8.175,8.708,7.758,6.57,5.971,7.805,7.302,7.524,7.838,5.939,6.977,8.554,5.647,5.988,6.517,5.574,6.576,6.801,7.882,5.567,6.878,10.228,7.277
9.977,NaN,9.038,7.183,7.624,7.857,10.403,8.34,8.359,6.85,5.843,6.386,9.931,7.992,8.616,10.294,8.215,10.525,8.159,13.524,6.658,8.299,7.57,7.148,7.416,8.559,7.159,7.19,8.411,9.304,7.188,5.885,7.944,6.03,6.326,8.397,4.618,6.037,8.01,8.377,9.497,44.312,6.908,6.89,12.16,8.64,6.909,8.212,7.387,7.657,8.172,7.757,9.587,7.021,7.134,6.119,8.439,8.653,8.765,7.915,6.69,6.446,8.586,8.096,7.738,7.954,6.641,7.072,9.099,5.797,6.294,6.615,5.617,6.647,6.827,7.909,6.007,7.019,10.285,7.308
10.263,NaN,9.509,7.563,7.962,8.094,10.605,8.437,8.599,7.14,6.303,6.856,10.088,8.17,9.032,10.455,8.456,10.888,8.249,13.747,7.051,8.375,7.798,7.521,7.62,8.802,7.324,7.612,8.661,9.434,7.771,6.221,8.102,6.181,6.492,8.465,4.698,6.404,8.033,8.854,9.963,47.108,7.07,7.001,12.631,8.94,7.234,8.354,7.642,7.805,8.767,8.187,9.678,7.451,7.489,6.541,9.008,8.723,9.294,8.153,6.904,6.557,8.963,8.324,8.369,8.403,6.928,7.235,9.937,5.97,6.648,7.575,5.818,6.765,7.242,8.063,6.32,7.459,10.779,7.397
10.657,NaN,9.785,8.072,8.145,8.564,11.479,8.597,9.025,7.267,6.431,7.026,10.536,8.302,9.12,11.247,8.9,11.017,8.862,14.212,7.238,9.153,7.943,7.605,7.956,9.553,7.518,8.06,8.942,9.691,8.348,6.331,8.66,6.527,6.682,8.529,4.973,6.828,8.133,9.382,10.302,47.559,7.227,7.299,13.804,9.877,7.515,8.704,7.934,8.287,9.304,8.674,9.797,7.581,7.729,6.713,9.333,8.817,9.746,8.477,6.965,6.642,9.341,8.445,8.462,8.75,7.009,7.477,10.692,6.348,6.867,8.597,5.923,7.021,7.45,8.119,6.551,7.513,10.829,8.841
11.564,NaN,9.94,8.781,8.428,9.027,11.884,8.871,9.127,7.364,6.749,7.418,10.842,8.539,9.503,11.718,9.325,11.147,8.986,14.366,7.936,9.378,8.177,7.812,8.023,10.016,7.666,8.423,9.667,10.038,8.992,6.555,8.687,7.333,6.723,8.771,5.322,7.155,8.427,9.526,10.554,49.054,7.598,7.841,14.415,10.105,7.901,9.395,8.117,8.369,9.931,8.899,10.425,7.797,7.922,7.013,9.453,9.018,9.971,8.638,7.133,7.244,9.477,8.721,8.714,9.476,7.228,7.734,10.8,6.568,7.572,8.809,6.39,7.402,7.615,8.311,6.757,7.698,11.178,8.95
11.821,NaN,10.279,9.836,8.554,9.227,11.996,8.97,9.337,7.497,6.883,7.724,11.019,8.835,9.725,12.014,9.651,11.473,9.319,14.765,8.152,9.83,8.291,8.121,8.528,10.588,8.079,8.503,9.822,10.264,8.992,7.221,8.83,7.449,6.781,8.901,5.424,7.194,8.812,9.806,10.711,51.294,7.749,8.411,15.005,10.377,8.248,9.579,8.299,8.548,11.525,9.317,10.558,7.948,8.111,7.307,9.855,9.079,10.207,9.346,7.223,7.415,10.144,8.815,9.156,10.004,7.565,7.926,11.216,6.718,7.825,9.242,7.237,7.457,7.705,8.447,6.913,7.845,11.289,8.984
12.499,NaN,10.353,9.957,9.045,9.345,12.475,9.212,9.963,7.766,7.726,7.89,11.343,9.062,10.176,12.365,11.268,11.714,9.519,15.088,8.284,10.432,8.423,8.238,9.165,11.213,8.233,8.628,10.219,10.431,9.271,8.496,9.219,7.73,6.883,9.248,5.463,7.423,9.077,10.159,10.976,52.912,8.306,9.048,15.196,10.492,8.715,10.367,8.442,8.931,11.636,9.589,11.019,8.461,8.358,7.434,10.352,9.34,10.441,9.446,8.263,7.677,10.41,9.181,9.701,10.284,7.809,8.219,11.386,6.797,7.964,9.29,7.255,7.587,8.018,8.485,7.108,7.96,11.327,9.116
