U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
87.872,NaN,483.61,523.794,69.969,211.397,77.529,70.271,66.868,49.229,NaN,50.676,105.748,81.045,86.181,85.293,89.615,78.932,67.198,74.796,67.865,73.31,53.81,62.428,200.873,75.871,85.177,70.795,76.052,442.092,98.498,68.912,59.99,61.555,39.276,39.56,53.656,47.874,70.766,63.483,88.843,496.933,57.748,66.259,107.392,212.657,61.755,81.003,70.747,71.858,84.792,61.421,NaN,51.613,53.613,67.298,70.536,496.716,67.214,67.97,75.063,51.209,263.557,66.274,76.682,80.646,80.573,50.504,NaN,141.827,62.217,64.439,66.489,46.816,46.656,72.739,51.52,44.812,64.425,70.424
88.029,NaN,485.682,524.249,70.649,212.142,77.715,70.408,66.969,49.323,NaN,50.761,105.996,81.255,87.713,85.568,90.049,79.369,67.365,74.893,67.984,73.735,53.981,62.519,201.417,76.06,85.553,70.91,76.114,442.916,98.676,69.205,59.99,61.736,39.409,39.988,53.882,48.495,70.789,64.048,88.963,499.281,58.225,66.678,108.15,212.774,61.912,81.151,70.883,72.041,85.126,61.482,NaN,52.059,54.092,67.551,70.796,499.007,67.579,68.131,75.371,51.386,264.055,66.482,76.954,80.963,80.844,50.589,NaN,142.015,62.379,65.459,67.416,46.968,46.784,73.422,51.722,44.852,64.969,70.823
88.247,NaN,490.254,527.717,70.784,212.436,78.46,70.716,67.286,49.48,NaN,50.867,106.243,81.333,87.864,85.854,90.41,79.988,67.813,75.28,68.164,74.107,54.164,62.664,201.783,76.744,85.911,71.217,76.209,443.401,98.913,69.243,60.02,62.085,39.512,40.016,54.065,48.55,70.855,64.141,90.225,500.103,58.393,66.983,108.802,215.402,62.411,81.269,71.038,72.206,85.675,61.689,NaN,52.266,54.263,67.747,71.094,500.284,67.75,68.593,75.543,51.561,264.784,66.807,77.202,81.164,81.056,50.775,NaN,142.486,62.495,65.541,67.538,46.998,47.015,73.516,51.889,44.947,65.085,70.93
88.497,NaN,493.132,529.092,71.19,212.743,78.823,70.835,67.846,49.653,NaN,50.971,106.404,81.496,88.057,86.443,90.485,80.368,67.964,75.466,68.301,74.245,54.295,62.822,202.127,76.837,86.259,71.447,76.394,445.145,100.344,69.278,60.121,62.099,39.651,40.319,54.225,48.786,70.883,64.176,90.366,502.012,58.447,67.121,108.958,216.849,62.486,81.528,71.25,72.313,86.106,61.847,NaN,52.494,54.702,67.795,71.166,501.56,67.817,68.839,75.833,51.85,265.009,67.042,77.303,81.758,81.356,50.947,NaN,142.918,62.826,65.732,67.658,47.358,47.074,73.56,52.398,45.001,65.463,71.413
88.831,NaN,493.541,530.211,71.37,212.842,78.965,71.003,68.246,49.794,NaN,51.119,106.699,82.144,88.291,87.274,90.769,80.675,68.304,75.943,68.566,74.463,54.431,62.909,202.329,77.302,86.539,72.023,76.638,445.904,102.182,70.167,60.172,62.358,39.901,40.368,54.349,48.966,71.774,64.414,90.556,503.479,58.71,67.692,109.615,217.592,62.764,81.714,71.674,72.588,86.21,62.209,NaN,52.744,54.759,67.87,71.409,502.137,68.204,69.104,76.004,52.085,266.517,67.219,77.521,81.851,81.51,51.365,NaN,144.149,62.898,66.03,67.713,47.607,47.644,73.914,52.479,45.164,66.27,71.497
88.997,NaN,495.128,530.648,71.451,213.053,79.062,71.098,68.4,49.944,NaN,51.287,107.034,82.749,89.388,87.35,91.731,80.908,68.543,76.309,68.76,74.519,55.03,63.25,202.743,77.665,86.725,72.243,76.756,446.651,102.225,70.228,60.532,62.917,40.186,40.635,54.856,49.127,72.683,64.439,90.719,503.7,58.822,67.851,110.089,217.796,62.791,81.905,71.811,72.85,86.326,62.625,NaN,52.866,54.811,68.567,71.656,503.474,68.285,69.431,76.185,52.367,268.979,67.423,78.209,82.053,81.937,51.468,NaN,144.716,63.105,66.201,67.899,47.746,47.677,74.289,52.764,45.366,66.297,71.575
89.63,NaN,498.242,532.218,71.864,213.697,79.402,71.409,68.843,50.329,NaN,51.363,107.283,82.88,89.577,87.855,91.848,81.008,68.683,76.418,69.223,74.913,55.195,63.325,203.651,77.976,87.044,72.344,77.42,447.014,102.618,70.321,60.698,63.418,40.238,40.823,55.478,49.259,72.918,64.675,91.662,505.807,58.991,68.035,110.227,218.199,63.111,82.223,72.454,72.964,86.467,62.717,NaN,53.129,54.934,68.956,71.86,503.718,68.541,69.791,76.714,52.807,268.979,68.026,78.594,82.339,82.022,51.884,NaN,146.827,63.257,66.234,68.44,47.805,47.927,74.635,53.31,45.451,66.583,71.715
89.975,NaN,499.944,534.429,71.982,213.907,79.829,71.655,69.149,50.558,NaN,51.686,107.683,83.314,89.809,88.237,92.111,81.676,68.921,76.621,69.498,75.296,55.404,63.472,204.083,78.222,87.446,72.679,77.704,448.286,102.793,70.612,60.742,63.818,40.333,40.954,55.817,49.63,72.95,64.742,92.068,509.842,59.218,68.228,110.343,219.614,63.23,82.571,72.832,73.226,86.77,63.041,NaN,53.409,55.163,69.062,71.995,506.631,69.016,70.169,76.938,53.003,270.823,68.171,78.705,82.754,82.929,52.07,NaN,147.849,64.371,66.598,68.483,47.861,47.962,74.928,53.68,45.488,66.654,71.835
90.447,NaN,500.452,536.455,72.349,214.499,80.046,71.842,69.281,50.863,NaN,51.843,107.849,84.33,90.491,88.432,92.41,82.033,69.26,76.918,69.675,75.472,55.532,63.806,204.678,78.406,88.038,72.913,77.928,452.799,102.983,70.809,60.823,64.222,40.408,41.071,56.051,50.169,73.072,64.924,92.409,511.707,59.969,68.352,110.57,222.177,63.358,82.851,73.117,73.538,87.036,63.217,NaN,53.707,55.39,69.201,72.074,507.533,69.601,70.53,77.083,53.317,275.301,68.313,78.91,82.991,83.214,52.232,NaN,149.374,64.734,66.798,68.698,47.925,48.137,75.035,54.02,45.563,66.76,72.09
90.895,NaN,500.758,537.017,72.684,215.372,80.32,72.331,69.515,50.96,NaN,51.983,108.247,84.862,90.672,88.574,92.505,82.17,69.345,77.269,69.805,76.059,55.821,64.025,204.822,79.096,88.26,73.066,78.401,453.573,103.248,71.161,60.979,64.274,41.089,41.297,56.519,50.289,73.522,66.17,92.838,512.802,60.063,68.522,110.864,223.312,63.535,83.478,73.308,73.73,87.466,63.305,NaN,54.006,55.671,69.398,72.506,510.378,69.823,70.647,77.515,53.379,277.381,68.572,79.04,83.148,83.437,52.416,NaN,149.781,64.807,66.842,68.866,48.112,48.197,75.319,54.275,46.158,66.943,72.533
91.126,NaN,501.639,537.248,72.918,215.525,80.47,73.44,69.883,51.115,NaN,52.145,108.548,84.99,90.777,88.673,93.945,82.404,69.527,77.386,70.149,76.336,56.361,64.233,205.234,79.202,88.315,73.316,79.101,454.029,103.35,71.49,61.075,64.679,41.136,41.486,56.641,50.352,73.574,66.612,92.949,515.06,60.185,68.622,112.783,223.533,63.727,83.56,73.512,74.26,87.564,63.542,NaN,54.369,55.915,69.505,72.645,515.048,69.919,70.863,77.965,53.532,278.554,68.721,79.11,83.304,83.786,52.684,NaN,150.161,64.928,66.953,68.881,48.277,48.234,75.771,54.386,46.624,67.37,73.615
91.762,NaN,504.097,538.852,73.745,217.696,80.79,73.565,70.032,51.284,NaN,52.428,108.827,84.99,91.619,88.824,94.156,82.527,69.679,77.645,70.255,76.991,56.544,64.404,205.448,79.523,88.506,73.513,79.311,454.971,103.945,71.534,61.219,64.966,41.177,41.579,56.676,50.579,73.748,66.664,93.166,515.863,60.264,68.836,113.242,224.475,63.87,83.75,73.634,74.318,87.74,63.777,NaN,54.552,56.049,70.018,72.885,517.629,70.279,71.007,78.098,53.634,278.746,68.852,79.627,84.274,84.207,52.838,NaN,150.36,65.648,67.556,68.959,48.438,48.296,76.83,54.725,46.709,67.718,74.339
