"data_id","Name","Precision","Recall","MCC"
"13NM_low","U63",0.0335305719921105,0.0310786106032907,0.00633254225818601
"13M_low","U25",0.377757352941176,0.751371115173675,0.515451545979933
"13M_low","U3",0.593856655290102,0.318098720292505,0.423611104089794
"13M_low","U7",0.0959124557450917,0.544789762340037,0.180713923701496
"13M_low","U20",0.110361445783133,0.418647166361974,0.173532038601025
"13M_low","U28",0.0999505195447798,0.369287020109689,0.149615552756819
"13M_low","U5",0.0482838859802211,0.303473491773309,0.0590492233151431
"13M_low","U11",0.196078431372549,0.0182815356489945,0.0523697020148808
"13M_low","U17",0.0498338870431894,0.191956124314442,0.0477497984663213
"13M_low","U14",0.0461022632020117,0.20109689213894,0.0427950668603837
"13M_low","U51",0.0441696113074205,0.0914076782449726,0.0255880047993189
